tile_id,half_hectare_download,F10m_download,ObjectId,Shape__Area,Shape__Length
00N_000E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_000E&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_000E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,1,1245542622548.87,4464169.76558139
00N_010E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_010E&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_010E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,2,1245542622548.87,4464169.76558139
00N_020E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_020E&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_020E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,3,1245542622548.87,4464169.76558139
00N_030E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_030E&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_030E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,4,1245542622548.87,4464169.76558139
00N_040E,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_040E&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_040E&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,5,1245542622548.87,4464169.76558139
00N_040W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_040W&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_040W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,6,1245542622548.87,4464169.76558139
00N_050W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_050W&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_050W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,7,1245542622548.87,4464169.76558139
00N_060W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_060W&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_060W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,8,1245542622548.87,4464169.76558139
00N_070W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_070W&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_070W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,9,1245542622548.87,4464169.76558139
00N_080W,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover/v2020/download/geotiff?grid=10/40000&tile_id=00N_080W&pixel_meaning=percent&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,https://data-api.globalforestwatch.org/dataset/wri_tropical_tree_cover_extent/v20220922/download/geotiff?grid=10/100000&tile_id=00N_080W&pixel_meaning=decile&x-api-key=2d60cd88-8348-4c0f-a6d5-bd9adb585a8c,10,1245542622548.87,4464169.76558139
